imdb_id,title,popular_rank,certificate,startYear,endYear,episodes,runtime,type,orign_country,language,rating,numVotes,genres,isAdult,cast,image_url
tt1520211,The Walking Dead,12,18+,2010.0,2022.0,177.0,44,tvSeries,United States,English,8.2,873752.0,"Drama,Horror,Thriller",0,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan', 'Josh McDermitt', 'Christian Serratos', 'Danai Gurira', 'Seth Gilliam', 'Ross Marquand', 'Chandler Riggs', 'Jeffrey Dean Morgan', 'Alanna Masterson', 'Steven Yeun', 'Khary Payton', 'Cooper Andrews', 'Sonequa Martin-Green', 'Callan McAuliffe', 'Eleanor Matsuura']",https://m.media-amazon.com/images/M/MV5BMTc5ZmM0OTQtNDY4MS00ZjMyLTgwYzgtOGY0Y2VlMWFmNDU0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_FMjpg_UX1000_.jpg
tt2442560,Peaky Blinders,13,A,2013.0,,36.0,60,tvSeries,United Kingdom,Italian,8.8,378802.0,"Crime,Drama",0,"['Cillian Murphy', 'Paul Anderson', 'Helen McCrory', 'Sophie Rundle', 'Ned Dennehy', 'Finn Cole', 'Ian Peck', 'Harry Kirton', 'Joe Cole', ""Natasha O'Keeffe"", 'Packy Lee', 'Annabelle Wallis', 'Kate Phillips', 'Tony Pitts', 'Aimee-Ffion Edwards', 'Jordan Bolger', 'Sam Neill', 'Tom Hardy']",https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_FMjpg_UX1000_.jpg
tt2403776,Shadow and Bone,14,16,2021.0,,16.0,\N,tvSeries,United States,English,7.8,51286.0,"Action,Adventure,Drama",0,"['Jessie Mei Li', 'Ben Barnes', 'Archie Renaux', 'Freddy Carter', 'Amita Suman', 'Kit Young', 'Danielle Galligan', 'Calahan Skogman', 'Simon Sears', 'Sujaya Dasgupta', 'Julian Kostov', 'Howard Charles', 'Zoë Wanamaker', 'Daisy Head', 'Kaylan Teague', 'Cody Molko', 'Hugo Speer', 'Andy Burse']",https://m.media-amazon.com/images/M/MV5BNTNhY2JlMmItMGMzZi00ZTM2LTlmNTItZDBkMGVhNGJhYWRhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
tt0903747,Breaking Bad,15,18,2008.0,2013.0,62.0,49,tvSeries,United States,English,9.4,1523446.0,"Crime,Drama,Thriller",0,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt', 'RJ Mitte', 'Dean Norris', 'Bob Odenkirk', 'Steven Michael Quezada', 'Jonathan Banks', 'Giancarlo Esposito', 'Charles Baker', 'Jesse Plemons', 'Christopher Cousins', 'Laura Fraser', 'Matt Jones', 'Michael Shamus Wiles', 'Lavell Crawford', 'Ray Campbell']",https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
tt6111574,The Woman in the Window,16,18,2021.0,,,100,movie,United States,English,5.7,46703.0,"Crime,Drama,Mystery",0,"['Amy Adams', 'Gary Oldman', 'Anthony Mackie', 'Fred Hechinger', 'Julianne Moore', 'Jennifer Jason Leigh', 'Wyatt Russell', 'Brian Tyree Henry', 'Jeanine Serralles', 'Mariah Bozeman', 'Daymien Valentino', 'Anna Cameron', 'Myers Bartlett', 'Haven Paschall', 'Ben Davis', 'Blake Morris', 'Donat Balaj', 'Liza Colón-Zayas']",https://m.media-amazon.com/images/M/MV5BYmVlNWJkZWYtYmJkMy00YTZlLTgwODMtZjVmOGMzMmM1ZTk2XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_FMjpg_UX1000_.jpg
tt14544192,Bo Burnham: Inside,17,,2021.0,,,87,tvSpecial,United States,English,8.9,13128.0,"Comedy,Drama,Music",0,['Bo Burnham'],https://m.media-amazon.com/images/M/MV5BMDE3MjcxNjEtODUzNi00NzdmLWFlMGMtMzhmMTg3NDdmM2IyXkEyXkFqcGdeQXVyNjYyMjE4NDY@._V1_FMjpg_UX1000_.jpg
tt7979580,The Mitchells vs the Machines,18,13,2021.0,,,113,movie,United States,English,7.8,55762.0,"Adventure,Animation,Comedy",0,"['Abbi Jacobson', 'Danny McBride', 'Maya Rudolph', 'Michael Rianda', 'Eric André', 'Olivia Colman', 'Fred Armisen', 'Beck Bennett', 'Chrissy Teigen', 'John Legend', 'Charlyne Yi', 'Blake Griffin', ""Conan O'Brien"", 'Doug the Pug', 'Melissa Sturm', 'Doug Nicholas', 'Madeleine McGraw', 'Ellen Wightman']",https://m.media-amazon.com/images/M/MV5BMjdkZjNjNDItYzc4MC00NTkxLTk1MWEtY2UyZjY5MjUwNDNkXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_FMjpg_UX1000_.jpg
tt7084386,Blue Miracle,19,13,2021.0,,,95,movie,United States,English,6.7,2962.0,"Adventure,Biography,Drama",0,"['Dennis Quaid', 'Jimmy Gonzales', 'Dana Wheeler-Nicholson', 'Fernanda Urrejola', 'Raymond Cruz', 'Bruce McGill', 'Miguel Angel Garcia', 'Anthony Gonzalez', 'Nathan Arenas', 'Isaac Arellanes', 'Steve Gutierrez', 'Silverio Palacios', 'Chris Doubek', 'Frank Gallegos', 'Tom Clark', 'Krista Moorman', 'Mario Cersósimo', 'Marcos Sánchez']",https://m.media-amazon.com/images/M/MV5BMGRkNzNhZjktYzYwOS00YmEwLTg4OWMtNGI2MmFlOGMwOTIyXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_FMjpg_UX1000_.jpg
tt9561862,"Love, Death & Robots",20,18,2019.0,,26.0,15,tvSeries,United States,English,8.5,115604.0,"Animation,Comedy,Fantasy",0,"['Scott Whyte', 'Nolan North', 'Steven Pacey', ""Emily O'Brien"", 'Fred Tatasciore', 'Matthew Yang King', 'Michelle C. Bonilla', 'Chris Cox', 'Ike Amadi', 'Noshir Dalal', 'Piotr Michael', 'Michael Benyaer', 'Josh Brener', 'Elly Condron', 'Henry Douthwaite', 'Graham Hamilton', 'Aaron Himelstein', 'Stefan Kapicic']",https://m.media-amazon.com/images/M/MV5BYjEwOWQ0MjktMjZjNy00Mzc1LWE5NTItMDQ1Yjc0Zjk0NTBlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
tt0364845,NCIS: Naval Criminal Investigative Service,21,16,2003.0,,415.0,60,tvSeries,United States,English,7.7,123320.0,"Action,Crime,Drama",0,"['Mark Harmon', 'David McCallum', 'Sean Murray', 'Pauley Perrette', 'Brian Dietzen', 'Michael Weatherly', 'Rocky Carroll', 'Cote de Pablo', 'Emily Wickersham', 'Wilmer Valderrama', 'Maria Bello', 'Lauren Holly', 'Diona Reasonover', 'Joe Spano', 'Sasha Alexander', 'Duane Henry', 'Jennifer Esposito', 'Muse Watson']",https://m.media-amazon.com/images/M/MV5BYjVlMjZhYzYtOGQxNC00OTQxLTk2NzEtMWFmMmNhODA4YjYzXkEyXkFqcGdeQXVyNjQ3MDgwNjY@._V1_FMjpg_UX1000_.jpg
tt6772524,Trouble,22,7,2019.0,,,87,movie,Canada,English,5.9,2131.0,"Adventure,Animation,Comedy",0,"['Big Sean', 'Pamela Adlon', 'Lucy Hale', 'Marissa Jaret Winokur', 'Wilmer Valderrama', 'Joel McHale', 'Colby Lopez', 'Damon Wayans Jr.', 'Olivia Holt', 'Carlos PenaVega', 'Harland Williams', 'Conrad Vernon', 'Dee Bradley Baker', 'Kevin Chamberlin', 'Jim Cummings', 'Manny Streetz', 'Ludo Lefebvre', 'Jason Mraz']",https://m.media-amazon.com/images/M/MV5BYzk5NTEyZTUtNWM0ZC00ZWMzLTk2ZTMtMDRhMWJiNzJkYmJiXkEyXkFqcGdeQXVyNzQ3MTA4MDk@._V1_FMjpg_UX1000_.jpg
tt4574334,Stranger Things,23,15,2016.0,,34.0,51,tvSeries,United States,English,8.7,862255.0,"Drama,Fantasy,Horror",0,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour', 'Gaten Matarazzo', 'Caleb McLaughlin', 'Natalia Dyer', 'Charlie Heaton', 'Joe Keery', 'Cara Buono', 'Noah Schnapp', 'Sadie Sink', 'Priah Ferguson', 'Joe Chrest', 'Dacre Montgomery', 'Maya Hawke', 'Brett Gelman', 'Rob Morgan']",https://m.media-amazon.com/images/M/MV5BN2ZmYjg1YmItNWQ4OC00YWM0LWE0ZDktYThjOTZiZjhhN2Q2XkEyXkFqcGdeQXVyNjgxNTQ3Mjk@._V1_FMjpg_UX1000_.jpg
tt2306299,Vikings,24,A,2013.0,2020.0,93.0,44,tvSeries,Ireland,French,8.5,450816.0,"Action,Adventure,Drama",0,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst', 'Alex Høgh Andersen', 'Jordan Patrick Smith', 'Marco Ilsø', 'Peter Franzén', 'Travis Fimmel', 'Clive Standen', 'John Kavanagh', 'Jennie Jacques', 'Maude Hirst', 'Moe Dunford', 'Alyssa Sutherland', 'Linus Roache', 'George Blagden', 'Adam Copeland']",https://m.media-amazon.com/images/M/MV5BODk4ZjU0NDUtYjdlOS00OTljLTgwZTUtYjkyZjk1NzExZGIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg
tt2303687,Line of Duty,25,16,2012.0,,36.0,60,tvSeries,United Kingdom,English,8.7,43919.0,"Crime,Drama,Mystery",0,"['Martin Compston', 'Vicky McClure', 'Adrian Dunbar', 'Craig Parkinson', 'Gregory Piper', 'Aiysha Hart', 'Maya Sondhi', 'Keeley Hawes', 'Nigel Boyle', 'Polly Walker', 'Paul Higgins', 'Anneika Rose', 'Neil Morrissey', 'Tomi May', 'Ace Bhatti', 'Elizabeth Rider', 'Tony Pitts', 'Kelly Macdonald']",https://m.media-amazon.com/images/M/MV5BMTExZDZjNTMtNDVmNy00ZTk2LWFiMzUtZDlkZGRlOGU0ZWRmXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_FMjpg_UX1000_.jpg
tt6468322,La casa de papel,26,16+,2017.0,2021.0,41.0,70,tvSeries,Spain,Spanish,8.3,329651.0,"Action,Crime,Mystery",0,"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso', 'Miguel Herrán', 'Jaime Lorente', 'Esther Acebo', 'Enrique Arce', 'Darko Peric', 'Alba Flores', 'Fernando Soto', 'Mario de la Rosa', 'Juan Fernández', 'Rocco Narva', 'Paco Tous', 'Kiti Mánver', 'Hovik Keuchkerian', 'Rodrigo De la Serna']",https://m.media-amazon.com/images/M/MV5BZDcxOGI0MDYtNTc5NS00NDUzLWFkOTItNDIxZjI0OTllNTljXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
tt3107288,The Flash,27,12+,2014.0,,165.0,43,tvSeries,United States,English,7.7,314053.0,"Action,Adventure,Drama",0,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes', 'Jesse L. Martin', 'Tom Cavanagh', 'Danielle Nicolet', 'Hartley Sawyer', 'Keiynan Lonsdale', 'Patrick Sabongui', 'Kayla Compton', 'Rick Cosnett', 'Jessica Parker Kennedy', 'John Wesley Shipp', 'Victoria Park', 'Michelle Harrison', 'Brandon McKnight', 'Violett Beane']",https://m.media-amazon.com/images/M/MV5BMDIzNzYwNTctZWY4Mi00YjQ2LWI5YWYtMzdmNDgwMGI4Yzk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg
tt3006802,Outlander,28,A,2014.0,,87.0,64,tvSeries,United States,English,8.4,132355.0,"Drama,Fantasy,Romance",0,"['Caitriona Balfe', 'Sam Heughan', 'Duncan Lacroix', 'Sophie Skelton', 'Richard Rankin', 'Tobias Menzies', 'César Domboy', 'Lauren Lyle', 'John Bell', 'Graham McTavish', ""Grant O'Rourke"", ""Caitlin O'Ryan"", 'Stephen Walters', 'Ed Speleers', 'Romann Berrux', 'David Berry', 'Maria Doyle Kennedy', 'Andrew Gower']",https://m.media-amazon.com/images/M/MV5BNzE3ZTYxZWYtMjQ1Ny00MzFhLWI1MGMtMDZmMzYwYjc1OWQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_FMjpg_UX1000_.jpg
tt0460681,Supernatural,29,16+,2005.0,2020.0,327.0,44,tvSeries,United States,English,8.4,399487.0,"Drama,Fantasy,Horror",0,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins', 'Mark Sheppard', 'Alexander Calvert', 'Mark Pellegrino', 'Samantha Smith', 'Ruth Connell', 'Rob Benedict', 'Kim Rhodes', 'Osric Chau', 'David Haydn-Jones', 'Curtis Armstrong', 'Lisa Berry', 'Genevieve Padalecki', 'Jeffrey Dean Morgan', 'Emily Swallow']",https://m.media-amazon.com/images/M/MV5BNzRmZWJhNjUtY2ZkYy00N2MyLWJmNTktOTAwY2VkODVmOGY3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg
tt4635276,Master of None,30,16,2015.0,,25.0,30,tvSeries,United States,English,8.3,69338.0,"Comedy,Drama",0,"['Aziz Ansari', 'Eric Wareheim', 'Lena Waithe', 'Noël Wells', 'Kelvin Yu', 'Alessandra Mastronardi', 'Naomi Ackie', 'Shoukath Ansari', 'Bobby Cannavale', 'H. Jon Benjamin', 'Todd Barry', 'Fatima Ansari', 'Riccardo Scamarcio', 'Danielle Brooks', 'Ilfenesh Hadera', 'Rachel Sophia-Anthony', 'Nicoló Ambrosio', 'Clem Cheung']",https://m.media-amazon.com/images/M/MV5BYTJlYWJiZTItZGM5NC00MTJjLWFlNTMtMTkxOGFiZTMwNDNlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg
tt0773262,Dexter,31,A,2006.0,2021.0,106.0,53,tvSeries,United States,English,8.6,657797.0,"Crime,Drama,Mystery",0,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar', 'C.S. Lee', 'Luna Lauren Velez', 'Desmond Harrington', 'Julie Benz', 'Christina Robinson', 'Geoff Pierson', 'Preston Bailey', 'Aimee Garcia', 'Luke Andrew Kruntchev', 'Erik King', 'Evan George Kruntchev', 'Dana L. Wilson', 'Yvonne Strahovski', 'David Ramsey']",https://m.media-amazon.com/images/M/MV5BMTM5MjkwMTI0MV5BMl5BanBnXkFtZTcwODQwMTc0OQ@@._V1_FMjpg_UX1000_.jpg
tt1442437,Modern Family,32,12+,2009.0,2020.0,250.0,22,tvSeries,United States,English,8.4,370388.0,"Comedy,Drama,Romance",0,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell', 'Jesse Tyler Ferguson', 'Eric Stonestreet', 'Rico Rodriguez', 'Nolan Gould', 'Sarah Hyland', 'Ariel Winter', 'Aubrey Anderson-Emmons', 'Jeremy Maguire', 'Reid Ewing', 'Beatrice the Dog', 'Pierce Wallace', 'Adam Devine', 'Fred Willard', 'Dana Powell']",https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtMDZiMWM1M2RkNDkyXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_FMjpg_UX1000_.jpg
tt3526078,Schitt's Creek,33,18+,2015.0,2020.0,80.0,22,tvSeries,Canada,English,8.5,84154.0,Comedy,0,"['Eugene Levy', ""Catherine O'Hara"", 'Dan Levy', 'Annie Murphy', 'Chris Elliott', 'Emily Hampshire', 'Jennifer Robertson', 'Sarah Levy', 'Karen Robinson', 'Dustin Milligan', 'Noah Reid', 'John Hemphill', 'Tim Rozon', 'Marilyn Bellfontaine', 'Mary Kelly', 'Jennifer Foster', 'Lili Connor', 'Rizwan Manji']",https://m.media-amazon.com/images/M/MV5BNWQ1ZmM3MTQtNTVhZC00MWVlLWI5ZjgtYmZiYWQxZjUzZWM0XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_FMjpg_UX1000_.jpg
tt2560140,Shingeki no kyojin,34,13,2013.0,2021.0,86.0,24,tvSeries,Japan,Japanese,9.0,233131.0,"Action,Adventure,Animation",0,"['Yûki Kaji', 'Marina Inoue', 'Josh Grelle', 'Yui Ishikawa', 'Bryce Papenbrook', 'Trina Nishimura', 'Kishô Taniyama', 'Hiro Shimono', 'Clifford Chapin', 'Mike McFarland', 'Romi Pak', 'Hiroshi Kamiya', 'Yû Kobayashi', 'Matthew Mercer', 'Jessica Calvello', 'Daisuke Ono', 'Yoshimasa Hosoya', 'Ashly Burch']",https://m.media-amazon.com/images/M/MV5BMTY5ODk1NzUyMl5BMl5BanBnXkFtZTgwMjUyNzEyMTE@._V1_FMjpg_UX1000_.jpg
tt9569546,Halston,35,18,2021.0,2021.0,5.0,240,tvMiniSeries,United States,English,7.5,7747.0,"Biography,Drama",0,"['Ewan McGregor', 'Rebecca Dayan', 'David Pittu', 'Krysta Rodriguez', 'Gian Franco Rodriguez', 'Sietzka Rose', 'Megan Gerald', 'Molly Jobe', 'Maxim Swinton', 'Deya Danielle Drake', 'Bill Pullman', 'Sullivan Jones', 'Eric T. Miller', 'Jason Kravits', 'Dilone', 'Alanna Arrington', 'Freja Zeuthen', 'Jenny Wong']",https://m.media-amazon.com/images/M/MV5BYzY0YzJjNmYtM2Y1MC00NWExLTk4NzgtMWYzMWFmMzhkNTBmXkEyXkFqcGdeQXVyODk3ODczODU@._V1_FMjpg_UX1000_.jpg
tt2467372,Brooklyn Nine-Nine,36,13+,2013.0,2022.0,153.0,22,tvSeries,United States,English,8.4,241662.0,"Comedy,Crime",0,"['Andy Samberg', 'Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero', 'Joe Lo Truglio', 'Andre Braugher', 'Dirk Blocker', 'Joel McKinnon Miller', 'Chelsea Peretti', 'Marc Evan Jackson', 'Kyra Sedgwick', 'Jason Mantzoukas', 'Dean Winters', 'Craig Robinson', 'Kyle Bornheimer', 'Nick Cannon', 'Kevin Dorff', 'Antonio Raul Corbo']",https://m.media-amazon.com/images/M/MV5BNzVkYWY4NzYtMWFlZi00YzkwLThhZDItZjcxYTU4ZTMzMDZmXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_FMjpg_UX1000_.jpg
tt2802850,Fargo,37,16+,2014.0,,41.0,53,tvSeries,United States,English,8.9,336879.0,"Crime,Drama,Thriller",0,"['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks', 'Russell Harvard', 'Bokeem Woodbine', 'Brad Mann', 'Kirsten Dunst', 'Ewan McGregor', 'Chris Rock', 'Patrick Wilson', 'Carrie Coon', 'Jessie Buckley', 'Jesse Plemons', 'Mary Elizabeth Winstead', 'Jason Schwartzman', 'David Thewlis', 'Ted Danson']",https://m.media-amazon.com/images/M/MV5BN2NiMGE5M2UtNWNlNC00N2Y4LTkwOWUtMDlkMzEwNTcyOTcyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg
